freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.442e+01,3.135e+01,1.353e+02,1.810e+02
1.6,3.423e+01,4.501e+01,1.175e+02,1.967e+02
3.2,3.260e+01,4.201e+01,6.052e+01,1.351e+02
4.8,3.160e+01,3.864e+01,2.364e+02,3.066e+02
6.4,2.851e+01,4.055e+01,6.271e+02,6.962e+02
8.0,2.890e+01,3.707e+01,9.708e+02,1.037e+03
9.6,2.987e+01,3.560e+01,1.412e+03,1.477e+03
11.2,2.917e+01,4.089e+01,1.936e+03,2.006e+03
12.8,3.227e+01,3.934e+01,2.572e+03,2.643e+03
14.3,3.241e+01,3.893e+01,3.320e+03,3.391e+03
15.9,3.128e+01,3.803e+01,4.210e+03,4.280e+03
17.5,3.345e+01,4.066e+01,5.337e+03,5.411e+03
19.1,3.993e+01,4.900e+01,6.691e+03,6.780e+03
20.7,3.990e+01,5.669e+01,8.156e+03,8.252e+03
22.3,3.658e+01,6.484e+01,9.915e+03,1.002e+04
23.9,3.862e+01,7.410e+01,1.221e+04,1.232e+04
25.5,4.487e+01,9.257e+01,1.503e+04,1.516e+04
27.1,5.741e+01,1.272e+02,1.860e+04,1.878e+04
28.7,7.464e+01,1.528e+02,2.359e+04,2.382e+04
30.3,1.455e+02,1.632e+02,3.093e+04,3.123e+04
31.9,2.804e+02,2.199e+02,3.948e+04,3.998e+04
33.5,4.607e+02,3.332e+02,4.533e+04,4.612e+04
35.1,6.626e+02,4.907e+02,5.525e+04,5.641e+04
36.7,7.143e+02,5.313e+02,5.614e+04,5.739e+04
38.3,3.896e+02,4.740e+02,4.632e+04,4.719e+04
39.8,5.709e+02,1.192e+03,4.569e+04,4.745e+04
41.4,3.110e+03,3.653e+03,6.011e+04,6.687e+04
43.0,6.889e+03,4.887e+03,7.451e+04,8.629e+04
44.6,8.201e+03,4.112e+03,7.136e+04,8.367e+04
46.2,8.477e+03,4.619e+03,6.932e+04,8.241e+04
47.8,7.478e+03,8.325e+03,9.079e+04,1.066e+05
49.4,7.986e+03,1.576e+04,1.206e+05,1.443e+05
51.0,8.452e+03,2.208e+04,1.622e+05,1.928e+05
52.6,6.226e+03,3.113e+04,2.070e+05,2.444e+05
54.2,4.087e+03,3.414e+04,1.992e+05,2.374e+05
55.8,2.543e+03,2.993e+04,1.857e+05,2.182e+05
57.4,1.085e+03,3.696e+04,1.778e+05,2.158e+05
