freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.950e+01,1.178e+02,8.679e+00,1.559e+02
1.6,2.612e+01,7.667e+01,3.622e+01,1.390e+02
3.2,1.300e+01,2.210e+01,4.621e+01,8.131e+01
4.8,1.302e+01,1.964e+02,4.653e+01,2.560e+02
6.4,1.386e+01,6.081e+02,4.668e+01,6.686e+02
8.0,1.307e+01,9.050e+02,4.573e+01,9.638e+02
9.6,1.397e+01,1.374e+03,4.623e+01,1.434e+03
11.2,1.301e+01,2.158e+03,4.916e+01,2.220e+03
12.8,1.391e+01,3.055e+03,4.769e+01,3.116e+03
14.3,1.599e+01,4.162e+03,4.515e+01,4.223e+03
15.9,1.931e+01,5.588e+03,4.555e+01,5.653e+03
17.5,2.318e+01,7.316e+03,4.521e+01,7.384e+03
19.1,3.876e+01,9.668e+03,4.479e+01,9.752e+03
20.7,6.247e+01,1.303e+04,5.087e+01,1.314e+04
22.3,7.504e+01,1.743e+04,5.138e+01,1.755e+04
23.9,9.732e+01,2.372e+04,5.958e+01,2.388e+04
25.5,1.966e+02,3.213e+04,6.830e+01,3.240e+04
27.1,6.990e+02,4.310e+04,6.288e+01,4.386e+04
28.7,3.799e+03,6.151e+04,9.171e+01,6.540e+04
30.3,1.352e+04,7.312e+04,3.168e+02,8.696e+04
31.9,2.527e+04,5.718e+04,6.820e+02,8.313e+04
33.5,3.336e+04,3.594e+04,5.906e+02,6.989e+04
35.1,4.128e+04,4.323e+04,1.037e+03,8.555e+04
36.7,3.907e+04,6.205e+04,1.672e+03,1.028e+05
38.3,3.579e+04,6.370e+04,1.323e+03,1.008e+05
39.8,3.728e+04,7.263e+04,8.994e+02,1.108e+05
41.4,4.358e+04,1.068e+05,6.909e+02,1.511e+05
43.0,5.099e+04,1.507e+05,5.212e+02,2.022e+05
44.6,5.169e+04,1.796e+05,1.015e+03,2.323e+05
46.2,4.760e+04,1.908e+05,1.234e+03,2.397e+05
47.8,4.035e+04,1.746e+05,8.041e+02,2.157e+05
49.4,3.195e+04,1.478e+05,5.184e+02,1.803e+05
51.0,2.558e+04,1.285e+05,4.424e+02,1.546e+05
52.6,1.808e+04,1.028e+05,7.932e+02,1.217e+05
54.2,1.345e+04,8.795e+04,9.833e+02,1.024e+05
55.8,1.071e+04,7.448e+04,6.963e+02,8.588e+04
